PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203128,00,0,41,9,540,40,78,0.51282051282,0,5,0.0,13,27,0.481481481481,78,98,176,28,17,16,17,96,93
202332,00,0,339,23,3388,435,825,0.527272727272,0,0,0.0,180,244,0.737704918032,334,797,1131,183,137,233,199,509,1050
200746,00,0,1076,997,36242,8311,16872,0.492591275486,227,710,0.319718309859,3709,4563,0.812842428227,2776,5960,8736,2076,758,1187,1643,2598,20558
76021,00,0,74,4,1114,161,337,0.477744807121,0,1,0.0,55,75,0.733333333333,87,183,270,36,15,15,72,171,377
1626146,00,0,8,0,35,5,10,0.5,0,0,0.0,0,0,0.0,2,4,6,0,1,2,1,1,10
724,00,0,307,35,4840,587,1508,0.389257294429,237,669,0.354260089686,266,352,0.755681818181,78,403,481,834,263,37,467,514,1677
2042,00,0,187,59,3156,655,1552,0.422036082474,41,121,0.338842975206,339,417,0.812949640287,124,285,409,227,111,18,203,377,1690
76022,00,0,11,0,55,8,14,0.571428571428,0,0,0.0,3,9,0.333333333333,7,8,15,2,3,0,8,10,19
201570,00,0,67,0,745,103,251,0.410358565737,16,47,0.340425531914,60,86,0.697674418604,46,74,120,44,16,30,52,116,282
1629734,00,0,2,0,13,1,2,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,2
1641725,00,0,24,0,117,13,41,0.317073170731,3,17,0.176470588235,3,4,0.75,1,11,12,11,2,1,5,10,32
1630234,00,0,15,0,47,3,12,0.25,2,9,0.222222222222,1,2,0.5,2,8,10,6,0,1,3,2,9
2349,00,0,286,155,5754,1101,2126,0.517873941674,18,63,0.285714285714,322,508,0.633858267716,446,938,1384,257,135,177,378,713,2542
1629638,00,0,381,68,7941,1180,2853,0.413599719593,560,1554,0.36036036036,338,455,0.742857142857,163,785,948,882,256,150,446,618,3258
76024,00,0,169,3,1641,291,634,0.458990536277,35,108,0.324074074074,127,146,0.869863013698,25,119,144,176,85,10,89,113,744
1628959,00,0,10,1,120,13,39,0.333333333333,3,12,0.25,8,12,0.666666666666,11,15,26,13,1,0,8,7,37
76028,00,0,27,,232,14,43,0.325581395348,,,,20,36,0.555555555555,,,56,10,,,,27,48
1628960,00,0,403,252,10228,1416,3140,0.450955414012,855,2064,0.414244186046,563,657,0.856925418569,205,1011,1216,812,293,112,399,636,4250
1628386,00,0,568,503,16020,2912,4542,0.641127256715,19,116,0.163793103448,1445,2030,0.711822660098,1619,3620,5239,948,371,703,767,1113,7288
706,00,0,117,1,1305,114,326,0.349693251533,40,126,0.31746031746,68,108,0.629629629629,30,93,123,201,52,9,103,126,336
1628443,00,0,47,2,639,90,207,0.434782608695,22,63,0.349206349206,56,74,0.756756756756,14,57,71,109,24,8,43,68,258
202730,00,0,388,87,6904,828,1758,0.470989761092,2,15,0.133333333333,189,277,0.682310469314,715,1128,1843,384,120,214,257,706,1847
76027,00,0,702,,20159,3884,8385,0.463208109719,,,,1639,2157,0.759851645804,381,928,2205,3174,604,124,247,1799,9407
2124,00,0,478,125,7265,1039,2365,0.43932346723,3,16,0.1875,253,325,0.778461538461,466,887,1353,228,130,220,320,897,2334
76025,00,0,70,6,789,114,258,0.441860465116,0,8,0.0,24,45,0.533333333333,52,93,145,23,17,20,30,109,252
951,00,0,1300,1149,46349,8567,18955,0.451965180691,2973,7429,0.400188450666,4398,4920,0.893902439024,1230,4042,5272,4361,1451,244,2709,2858,24505
2754,00,0,820,441,18053,2588,5447,0.475123921424,125,444,0.281531531531,1353,1909,0.70874803562,1021,1863,2884,1077,1158,337,1118,1947,6654
76029,00,0,36,,166,17,78,0.217948717948,,,,33,61,0.540983606557,,,45,10,,,,34,67
200984,00,0,3,0,10,1,4,0.25,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,3
76030,00,0,22,3,276,23,67,0.343283582089,0,1,0.0,13,22,0.590909090909,19,46,65,25,5,8,23,51,59
201165,00,0,38,1,360,43,113,0.380530973451,7,24,0.291666666666,26,35,0.742857142857,10,36,46,12,12,4,19,42,119
308,00,0,139,42,2656,318,650,0.48923076923,1,7,0.142857142857,114,234,0.487179487179,228,297,525,94,95,87,112,298,751
1747,00,0,671,452,19389,2450,6391,0.38335158817,996,2815,0.353818827708,903,1238,0.729402261712,247,1644,1891,3202,813,105,1195,1408,6799
1630631,00,0,227,34,4538,678,1649,0.411158277744,304,873,0.348224513172,196,259,0.756756756756,105,400,505,714,271,46,247,378,1856
680,00,0,294,93,4812,663,1646,0.402794653705,1,13,0.076923076923,510,760,0.671052631578,230,542,772,228,90,94,386,499,1837
732,00,0,85,34,1249,133,292,0.455479452054,1,2,0.5,112,177,0.632768361581,133,222,355,36,29,13,67,180,379
202329,00,0,711,445,17698,1948,4641,0.419737125619,543,1634,0.332313341493,911,1221,0.746109746109,982,3298,4280,879,678,397,863,1302,5350
200811,00,0,428,42,5506,648,1368,0.473684210526,0,3,0.0,268,603,0.444444444444,644,897,1541,190,152,306,299,835,1564
76034,00,0,33,,373,55,143,0.384615384615,,,,23,42,0.547619047619,,,69,29,,,,32,133
2365,00,0,695,45,12267,1336,2512,0.531847133757,15,68,0.220588235294,1068,1632,0.654411764705,1176,2317,3493,337,312,991,513,1342,3755
2431,00,0,103,0,1263,203,461,0.440347071583,35,101,0.346534653465,60,89,0.67415730337,74,218,292,57,20,21,59,159,501
101187,00,0,330,66,6792,843,2084,0.404510556621,331,963,0.343717549325,404,495,0.816161616161,151,563,714,371,182,31,290,602,2421
76035,00,0,81,,581,71,202,0.351485148514,,,,105,177,0.593220338983,,,103,68,,,,105,247
76036,00,0,95,,1067,135,286,0.472027972027,,,,77,91,0.846153846153,23,68,91,166,36,3,,102,347
1507,00,0,615,390,17967,2419,5922,0.408476865923,645,1891,0.341089370703,1874,2198,0.852593266606,440,1548,1988,2083,691,87,1052,1230,7357
